id,class4,p
450,II,0.7503528558354937
451,II,0.9258059463480464
452,nonevent,0.0085765355817844
453,nonevent,0.3302846166365973
454,II,0.889646759316577
455,nonevent,0.0578134423605098
456,II,0.9476646529941246
457,II,0.9769608029917236
458,nonevent,0.2712455861991146
459,nonevent,0.1649114550349564
460,nonevent,0.0061715203534349
461,nonevent,0.2020203312421245
462,nonevent,0.1998939353792925
463,II,0.814582811812058
464,nonevent,0.4497184637133057
465,nonevent,0.1202079033601223
466,nonevent,0.2366934746129606
467,II,0.9500961186539032
468,II,0.6755257622334542
469,nonevent,0.0727836566007173
470,II,0.969829519786588
471,II,0.9359291020871068
472,II,0.6226211861479044
473,nonevent,0.2569856765726956
474,nonevent,0.0176617167461386
475,II,0.9995943812918264
476,nonevent,0.0187765595923699
477,nonevent,0.1300082113220767
478,nonevent,0.0497308292938857
479,nonevent,0.2559388944041036
480,nonevent,0.1386209224768492
481,nonevent,0.0267560990258612
482,II,0.9598230479263514
483,nonevent,0.0119851391037778
484,nonevent,0.0699706882383634
485,II,0.7715872401113792
486,II,0.8013675908783733
487,II,0.9858403371397216
488,nonevent,0.0013376711663465
489,nonevent,0.3117946692623643
490,II,0.8252970941559844
491,II,0.9889459011917484
492,nonevent,0.1840018267966764
493,nonevent,0.4596047680261204
494,II,0.9289579361975832
495,nonevent,0.2443876253108651
496,nonevent,0.0098634466301916
497,nonevent,0.2777659911013111
498,nonevent,0.0344163607391015
499,II,0.9389057391583032
500,nonevent,0.1645473966959558
501,nonevent,0.0466707301926151
502,nonevent,0.1159254836119284
503,II,0.9966541768301712
504,nonevent,0.1421642497687115
505,II,0.9643108487447232
506,II,0.994645198096768
507,nonevent,0.1496579887389176
508,nonevent,0.360596434911177
509,II,0.6197865492791919
510,nonevent,0.0244525355530705
511,nonevent,0.1180790982884356
512,nonevent,0.0092500203499573
513,nonevent,0.0125626891970644
514,II,0.8320145468570322
515,II,0.797381967855439
516,II,0.809465084825203
517,II,0.9786902959372936
518,nonevent,0.022583323398893
519,nonevent,0.0784784713831455
520,nonevent,0.0369807043983546
521,nonevent,0.2991143279827421
522,nonevent,0.3784831794570505
523,nonevent,0.1617982839344027
524,II,0.5219435569416476
525,nonevent,0.0554425128983123
526,nonevent,0.0238132785017404
527,II,0.884715842523684
528,nonevent,0.3966131377236832
529,nonevent,0.1822141844071261
530,nonevent,0.2502000382776187
531,II,0.9334789379105628
532,nonevent,0.1723957725210461
533,II,0.7045026357918336
534,nonevent,0.4251936931406366
535,II,0.7680651366086642
536,nonevent,0.0335474171752497
537,II,0.9768447127430194
538,II,0.9386559473733396
539,nonevent,0.0401828958146518
540,nonevent,0.088541245863305
541,nonevent,0.0079189081208383
542,II,0.9889511703203464
543,nonevent,0.0222980929385925
544,II,0.7039870810979962
545,nonevent,0.0181468028540688
546,II,0.9883268189857314
547,II,0.9038618411658118
548,II,0.5742972812083793
549,II,0.8391151959553348
550,II,0.8301148897007214
551,nonevent,0.1680051265851912
552,nonevent,0.1279254944742408
553,nonevent,0.4014645589827351
554,nonevent,0.0383191385638667
555,II,0.6551120166410906
556,II,0.9630569498320825
557,II,0.65512046826448
558,nonevent,0.4967959844553296
559,nonevent,0.0023326131189099
560,II,0.9356206914084568
561,nonevent,0.1757384595874997
562,II,0.9853984586899996
563,II,0.9763519287489996
564,II,0.9786071578614286
565,nonevent,0.3152470874324612
566,II,0.9899792412478468
567,II,0.986345542876062
568,nonevent,0.2928927498737904
569,nonevent,0.018699338198336
570,II,0.9480519546048926
571,II,0.8181542782731268
572,nonevent,0.0105814477044128
573,II,0.9944895086105008
574,II,0.8231464675829369
575,nonevent,0.0268817355264053
576,II,0.9568779473812244
577,II,0.8352170003034048
578,II,0.959793276440382
579,II,0.9956093314560824
580,nonevent,0.2977928342740236
581,II,0.7715629875902175
582,nonevent,0.3004637093816486
583,nonevent,0.0231991147842432
584,II,0.992977293597192
585,nonevent,0.2951406860356914
586,II,0.8252350388536464
587,nonevent,0.0032524106271308
588,II,0.5064522608812678
589,II,0.5760940042954493
590,nonevent,0.0893533347108991
591,nonevent,0.2100236773926215
592,II,0.9739728136851574
593,II,0.9690940996188018
594,nonevent,0.0289308109060649
595,nonevent,0.0930688708453521
596,nonevent,0.0034754956070509
597,II,0.9838217571060084
598,II,0.988983046988806
599,II,0.7584713682323649
600,II,0.509586051271251
601,nonevent,0.465695763695226
602,II,0.6110780183157838
603,II,0.5258148945298238
604,nonevent,0.243262215954596
605,II,0.7874544312443726
606,II,0.8652230182557151
607,nonevent,0.1232223614892162
608,II,0.9727744856947182
609,II,0.868102026181503
610,II,0.9363143207650714
611,nonevent,0.2000808663120258
612,II,0.8889947820684743
613,nonevent,0.0029035030901573
614,II,0.6128341242244971
615,II,0.9107653593404244
616,nonevent,0.0093276725007694
617,nonevent,0.078853733974115
618,nonevent,0.2077025058636517
619,nonevent,0.016974659583473
620,II,0.6796798497216113
621,nonevent,0.0006521753820123
622,nonevent,0.0296080689684272
623,nonevent,0.075188026436083
624,nonevent,0.0050809434199185
625,nonevent,0.0109449697929229
626,II,0.9115418942728214
627,nonevent,0.3682620152876938
628,nonevent,0.1388810800823939
629,II,0.9442949870015124
630,II,0.9097164483235548
631,II,0.892304045276959
632,II,0.9902662507820664
633,nonevent,0.0118990391967201
634,II,0.5686075220259311
635,II,0.9320695018474914
636,nonevent,0.0308820817720482
637,nonevent,0.1665496007330859
638,nonevent,0.0862593170590191
639,nonevent,0.0117961746410574
640,nonevent,0.0237293377948182
641,II,0.9963490334490102
642,nonevent,0.0081435831101324
643,nonevent,0.0631319672846271
644,nonevent,0.0020165836140008
645,II,0.5813234773450223
646,nonevent,0.0517017973707196
647,nonevent,0.1461272429530284
648,II,0.9635847992404466
649,nonevent,0.141264790219205
650,II,0.949517866796022
651,II,0.9080543045804056
652,nonevent,0.347396937045129
653,II,0.5126766420781685
654,II,0.9917858097928202
655,nonevent,0.0325922135274833
656,II,0.9752083505328458
657,nonevent,0.4622578173761026
658,II,0.5413572925365099
659,nonevent,0.0604006523937515
660,II,0.9777434543379344
661,nonevent,0.3009687333444961
662,II,0.511014092957008
663,Ia,0.9561463740143732
664,II,0.7247078836276077
665,II,0.5865976397358034
666,nonevent,0.0521331189018217
667,nonevent,0.0057001206600402
668,II,0.8962559845391679
669,II,0.9058906154545738
670,nonevent,0.0369289550475043
671,nonevent,0.0574808786844663
672,nonevent,5.903755176894994e-06
673,II,0.9850486666858916
674,nonevent,0.0233028662543377
675,nonevent,0.0425852509548886
676,II,0.9906186361132832
677,nonevent,0.4403559422485751
678,nonevent,0.313831677713401
679,II,0.9367337326235228
680,II,0.9498523547264884
681,II,0.9387364662821414
682,II,0.923996700136295
683,II,0.6102568614629135
684,nonevent,0.0035182399435513
685,nonevent,0.342756585308589
686,II,0.9566093488811256
687,II,0.9674290272579376
688,II,0.8816127018703057
689,nonevent,0.0016416477066653
690,II,0.992487821415583
691,II,0.8756479554059791
692,II,0.9924023749969008
693,nonevent,0.2669263944399652
694,II,0.8697212481406335
695,nonevent,0.0302161823647926
696,nonevent,0.0617072021163298
697,II,0.8411888395291923
698,nonevent,0.4877975100525331
699,II,0.9424203592999604
700,nonevent,0.1356757892621512
701,nonevent,0.0868947220098416
702,nonevent,0.0818759203646964
703,II,0.9751305129169504
704,nonevent,0.1831129078754838
705,nonevent,0.0032051369732983
706,nonevent,0.0400156399814512
707,II,0.9274538092103064
708,II,0.8999181078612023
709,nonevent,0.0011760089639376
710,nonevent,0.1132763775683136
711,II,0.9910969113488084
712,II,0.6615505649614253
713,II,0.9677562196230064
714,nonevent,0.1939829216907087
715,nonevent,0.0239978993145667
716,II,0.7894274013147176
717,II,0.7631235894882616
718,nonevent,0.0011644007520203
719,II,0.9688030189501358
720,II,0.9595193950689752
721,II,0.9715219780187938
722,nonevent,0.0448800018418113
723,II,0.9683592977403912
724,nonevent,0.3695834325570068
725,nonevent,0.1253522338483897
726,nonevent,0.3235493192566577
727,nonevent,0.1299925946113254
728,Ia,0.9999981199562372
729,II,0.9623785664551104
730,nonevent,0.0907805246279996
731,II,0.9750279008326416
732,II,0.6946634254069525
733,II,0.9411143058884908
734,II,0.9128440258381676
735,nonevent,0.0788859640702391
736,nonevent,0.000253284307979
737,II,0.9909587288009852
738,nonevent,0.2170252695678417
739,II,0.8345908786740989
740,II,0.9914193704812516
741,II,0.9746686902094048
742,II,0.81641191733102
743,II,0.8325481108710105
744,nonevent,0.0912271118752251
745,II,0.6862571729975857
746,II,0.5226966547886941
747,II,0.9901874174578816
748,II,0.8891849824266177
749,nonevent,0.0503242239954168
750,nonevent,0.3452948795153689
751,nonevent,0.3316905810490368
752,nonevent,0.4544318646276505
753,nonevent,0.2090120587975404
754,nonevent,0.0263947195542116
755,nonevent,0.0106279965273012
756,II,0.8279662837490486
757,nonevent,0.2907715601338305
758,nonevent,0.1627999866073488
759,II,0.8085376194938171
760,II,0.9943835203523744
761,II,0.9762522583295902
762,II,0.99290108545947
763,nonevent,0.1453432863085077
764,II,0.9731893614053708
765,II,0.8661134428215462
766,II,0.9661446583401156
767,II,0.5945998112288856
768,II,0.9724908944085104
769,nonevent,0.0345330207599473
770,nonevent,0.0280877624524216
771,nonevent,0.4527018642006231
772,nonevent,0.0844787263095074
773,nonevent,0.0170369975496597
